,index_code,con_code,in_date,out_date,is_new
139,801760.SI,300805.SZ,20191128,,Y
140,801760.SI,300987.SZ,20210518,,Y
141,801760.SI,301001.SZ,20210623,20211210,N
142,801760.SI,301025.SZ,20210726,,Y
143,801760.SI,301052.SZ,20210906,,Y
144,801760.SI,301102.SZ,20220406,,Y
145,801760.SI,301171.SZ,20220826,,Y
146,801760.SI,301231.SZ,20220916,,Y
147,801760.SI,301262.SZ,20230629,,Y
148,801760.SI,301299.SZ,20221026,,Y
149,801760.SI,301313.SZ,20221014,,Y
150,801760.SI,600037.SH,20140221,,Y
151,801760.SI,600052.SH,20200722,20230705,N
152,801760.SI,600088.SH,20140221,,Y
153,801760.SI,600136.SH,20160701,20211210,N
154,801760.SI,600158.SH,20160701,20211210,N
155,801760.SI,600226.SH,20190708,20220729,N
156,801760.SI,600228.SH,20210824,,Y
157,801760.SI,600229.SH,20160701,,Y
158,801760.SI,600242.SH,20170703,20230530,N
159,801760.SI,600358.SH,20211213,,Y
160,801760.SI,600373.SH,20140221,,Y
161,801760.SI,600381.SH,20180905,20201123,N
162,801760.SI,600386.SH,20140221,20211210,N
163,801760.SI,600455.SH,20180716,20211210,N
164,801760.SI,600551.SH,20140221,,Y
165,801760.SI,600556.SH,20200908,,Y
166,801760.SI,600576.SH,20160701,20230705,N
167,801760.SI,600633.SH,20140221,,Y
168,801760.SI,600634.SH,20180716,20201208,N
169,801760.SI,600636.SH,20190708,20211210,N
170,801760.SI,600637.SH,20140221,,Y
171,801760.SI,600640.SH,20170602,,Y
172,801760.SI,600652.SH,20150701,20220524,N
173,801760.SI,600661.SH,20140702,20211210,N
174,801760.SI,600715.SH,20150701,20151102,N
175,801760.SI,600715.SH,20160219,,Y
176,801760.SI,600757.SH,20140221,,Y
177,801760.SI,600804.SH,20140221,20170630,N
178,801760.SI,600825.SH,20140221,,Y
179,801760.SI,600831.SH,20140221,,Y
180,801760.SI,600832.SH,20140221,20150520,N
181,801760.SI,600880.SH,20140221,20211210,N
182,801760.SI,600892.SH,20160701,,Y
183,801760.SI,600936.SH,20160822,,Y
184,801760.SI,600959.SH,20150506,,Y
185,801760.SI,600977.SH,20160816,,Y
186,801760.SI,600986.SH,20170703,,Y
187,801760.SI,600996.SH,20170103,,Y
188,801760.SI,601019.SH,20171129,,Y
189,801760.SI,601098.SH,20140221,,Y
190,801760.SI,601595.SH,20160824,,Y
191,801760.SI,601599.SH,20190708,20211210,N
192,801760.SI,601801.SH,20140221,,Y
193,801760.SI,601811.SH,20160815,,Y
194,801760.SI,601858.SH,20170125,,Y
195,801760.SI,601900.SH,20160222,,Y
196,801760.SI,601921.SH,20210730,,Y
197,801760.SI,601928.SH,20140221,,Y
198,801760.SI,601929.SH,20140221,,Y
199,801760.SI,601949.SH,20170828,,Y
200,801760.SI,601999.SH,20140221,,Y
201,801760.SI,603000.SH,20140221,,Y
202,801760.SI,603096.SH,20170503,,Y
203,801760.SI,603103.SH,20171019,,Y
204,801760.SI,603230.SH,20211231,,Y
205,801760.SI,603258.SH,20161102,,Y
206,801760.SI,603444.SH,20170111,,Y
207,801760.SI,603466.SH,20220118,,Y
208,801760.SI,603533.SH,20170928,,Y
209,801760.SI,603598.SH,20150603,,Y
210,801760.SI,603613.SH,20190806,20211210,N
211,801760.SI,603721.SH,20170818,,Y
212,801760.SI,603729.SH,20150331,,Y
213,801760.SI,603825.SH,20170809,,Y
214,801760.SI,603888.SH,20161104,,Y
215,801760.SI,603999.SH,20151217,,Y
216,801760.SI,605136.SH,20201014,20211210,N
217,801760.SI,605168.SH,20200604,,Y
218,801760.SI,605577.SH,20210831,,Y
