ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000903.SH,20240826,3183.6354,3190.3035,3195.9503,3169.645,3185.8624,-2.227,-0.0699,44642871.0,75727314.069
000903.SH,20240823,3185.8624,3162.1163,3194.389,3161.352,3170.3793,15.4831,0.4884,38845460.0,70963323.183
000903.SH,20240822,3170.3793,3174.06,3179.3428,3158.2297,3172.4649,-2.0856,-0.0657,42602474.0,75860505.472
000903.SH,20240821,3172.4649,3169.9114,3188.7395,3154.9413,3178.8437,-6.3788,-0.2007,38951445.0,66653410.646
000903.SH,20240820,3178.8437,3201.7258,3202.4745,3168.189,3195.5529,-16.7092,-0.5229,41639698.0,67828565.339
000903.SH,20240819,3195.5529,3189.1072,3221.7541,3188.7307,3188.7946,6.7583,0.2119,43071591.0,70294611.693
000903.SH,20240816,3188.7946,3184.6599,3199.2105,3178.2157,3183.7927,5.0019,0.1571,41920818.0,67478123.616
000903.SH,20240815,3183.7927,3141.9488,3197.9149,3138.118,3149.6981,34.0946,1.0825,45879514.0,75208218.765
000903.SH,20240814,3149.6981,3175.3295,3175.3295,3149.5168,3176.6295,-26.9314,-0.8478,31590991.0,56617918.201
000903.SH,20240813,3176.6295,3170.5583,3177.7668,3153.7255,3169.1451,7.4844,0.2362,35867779.0,62994987.116
000903.SH,20240812,3169.1451,3171.3577,3181.9116,3163.4495,3174.5995,-5.4544,-0.1718,35452277.0,59151481.182
000903.SH,20240809,3174.5995,3199.2516,3210.1431,3174.5995,3182.3181,-7.7186,-0.2425,43974894.0,75432999.973
000903.SH,20240808,3182.3181,3171.068,3201.259,3158.907,3180.1924,2.1257,0.0668,40966399.0,73101741.703
000903.SH,20240807,3180.1924,3180.0929,3201.454,3170.8395,3184.047,-3.8546,-0.1211,39964383.0,70900612.593
000903.SH,20240806,3184.047,3211.6157,3220.7972,3161.8929,3188.0035,-3.9565,-0.1241,52601998.0,95163917.848
000903.SH,20240805,3188.0035,3202.2453,3251.7941,3188.0035,3225.8139,-37.8104,-1.1721,64304847.0,114767485.064
000903.SH,20240802,3225.8139,3234.345,3261.209,3222.7387,3260.8525,-35.0386,-1.0745,50855111.0,90736433.256
000903.SH,20240801,3260.8525,3287.9277,3293.6004,3259.7019,3286.3431,-25.4906,-0.7757,57835077.0,101189982.662
000903.SH,20240731,3286.3431,3207.7523,3289.299,3207.7523,3215.0677,71.2754,2.2169,75312838.0,129808130.924
000903.SH,20240730,3215.0677,3227.364,3227.6933,3197.8749,3239.1456,-24.0779,-0.7433,47774689.0,87355152.045
000903.SH,20240729,3239.1456,3261.5195,3261.5195,3239.1456,3267.4382,-28.2926,-0.8659,47796535.0,87674706.649
000903.SH,20240726,3267.4382,3260.202,3276.854,3243.6572,3252.8886,14.5496,0.4473,58534310.0,104502685.5
000903.SH,20240725,3252.8886,3258.3188,3271.6346,3238.1454,3272.1076,-19.219,-0.5874,61495078.0,101339542.004
000903.SH,20240724,3272.1076,3288.038,3307.6361,3261.6084,3294.5949,-22.4873,-0.6826,60864932.0,96965198.89
000903.SH,20240723,3294.5949,3366.4009,3366.4009,3294.5949,3371.3881,-76.7932,-2.2778,59697984.0,106714770.027
000903.SH,20240722,3371.3881,3392.8582,3395.4501,3351.0476,3394.2601,-22.872,-0.6738,60529242.0,112846444.64
000903.SH,20240719,3394.2601,3355.1551,3400.0542,3346.0323,3379.1778,15.0823,0.4463,62264118.0,121699679.234
000903.SH,20240718,3379.1778,3337.4847,3381.0436,3334.995,3355.2189,23.9589,0.7141,58488610.0,117166657.749
000903.SH,20240717,3355.2189,3350.9179,3366.9964,3340.4527,3353.7897,1.4292,0.0426,62076202.0,118628674.517
000903.SH,20240716,3353.7897,3322.7394,3355.8298,3317.9792,3333.5882,20.2015,0.606,57173267.0,105689453.425
000903.SH,20240715,3333.5882,3326.7938,3343.0735,3323.8611,3338.3351,-4.7469,-0.1422,59349291.0,91067456.901
000903.SH,20240712,3338.3351,3321.8108,3345.1339,3320.1278,3323.8634,14.4717,0.4354,62766367.0,112047570.575
000903.SH,20240711,3323.8634,3302.9431,3329.2073,3290.1429,3285.5329,38.3305,1.1666,67048057.0,122107016.765
000903.SH,20240710,3285.5329,3284.4257,3307.491,3280.1545,3293.8692,-8.3363,-0.2531,58703661.0,103158855.037
000903.SH,20240709,3293.8692,3255.6432,3304.6181,3244.1157,3258.3585,35.5107,1.0898,60291544.0,113297465.068
000903.SH,20240708,3258.3585,3276.0769,3283.3818,3253.002,3287.2741,-28.9156,-0.8796,53018502.0,96414058.945
000903.SH,20240705,3287.2741,3297.5198,3306.1673,3254.6495,3299.6841,-12.41,-0.3761,51771527.0,95096876.981
000903.SH,20240704,3299.6841,3318.5441,3337.0863,3299.4781,3312.7712,-13.0871,-0.395,47844285.0,83908320.572
000903.SH,20240703,3312.7712,3312.7455,3319.953,3297.7934,3312.2275,0.5437,0.0164,46848010.0,87035564.618
000903.SH,20240702,3312.2275,3311.1017,3327.4196,3305.233,3318.4876,-6.2601,-0.1886,55102011.0,98862190.591
000903.SH,20240701,3318.4876,3308.2375,3321.8382,3288.6724,3309.9918,8.4958,0.2567,57241101.0,100795449.359
000903.SH,20240628,3309.9918,3288.7083,3330.2993,3288.7083,3300.2637,9.7281,0.2948,62996534.0,108261121.958
000903.SH,20240627,3300.2637,3311.869,3314.242,3297.5649,3324.2312,-23.9675,-0.721,53110429.0,92738128.366
000903.SH,20240626,3324.2312,3298.4303,3332.0132,3289.9879,3305.3043,18.9269,0.5726,47326912.0,89183661.888
000903.SH,20240625,3305.3043,3317.949,3327.7435,3289.1804,3320.8307,-15.5264,-0.4675,54069518.0,102717899.05
000903.SH,20240624,3320.8307,3307.8176,3346.307,3303.4972,3330.0514,-9.2207,-0.2769,53728438.0,104787377.122
000903.SH,20240621,3330.0514,3335.6293,3342.2044,3308.8309,3340.2439,-10.1925,-0.3051,50952171.0,98294119.888
000903.SH,20240620,3340.2439,3359.1541,3369.4158,3336.6356,3361.5518,-21.3079,-0.6339,53166273.0,98334062.417
000903.SH,20240619,3361.5518,3374.554,3374.554,3354.7202,3378.1382,-16.5864,-0.491,47185326.0,93969787.535
000903.SH,20240618,3378.1382,3366.2359,3384.1609,3366.049,3369.9698,8.1684,0.2424,54834241.0,107784194.613
000903.SH,20240617,3369.9698,3353.3801,3377.2829,3353.3801,3373.8707,-3.9009,-0.1156,59201009.0,119760672.411
000903.SH,20240614,3373.8707,3347.7735,3379.4549,3335.4926,3356.1611,17.7096,0.5277,66805341.0,145844034.435
000903.SH,20240613,3356.1611,3384.3766,3384.4097,3350.2915,3378.4319,-22.2708,-0.6592,53356211.0,111809039.666
000903.SH,20240612,3378.4319,3375.6992,3386.4063,3368.334,3379.6845,-1.2526,-0.0371,56344566.0,109774396.458
000903.SH,20240611,3379.6845,3387.2332,3399.5935,3361.3992,3411.1393,-31.4548,-0.9221,60257008.0,120204393.348
000903.SH,20240607,3411.1393,3435.8357,3442.7285,3390.2909,3435.3482,-24.2089,-0.7047,59724479.0,115940476.191
000903.SH,20240606,3435.3482,3439.0894,3468.5494,3426.6392,3430.9883,4.3599,0.1271,64751573.0,121524827.266
000903.SH,20240605,3430.9883,3445.1169,3460.3726,3430.7608,3450.9058,-19.9175,-0.5772,51093145.0,97162745.79
