ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000906.SH,20240826,3515.5325,3520.4547,3526.0749,3502.3915,3516.5463,-1.0138,-0.0288,181109068.0,223435851.725
000906.SH,20240823,3516.5463,3497.0571,3526.041,3496.8713,3504.5885,11.9578,0.3412,165304138.0,204050878.195
000906.SH,20240822,3504.5885,3522.9144,3527.8208,3500.6166,3521.4779,-16.8894,-0.4796,186223372.0,225905268.279
000906.SH,20240821,3521.4779,3522.871,3539.7312,3511.7826,3533.1376,-11.6597,-0.33,173481661.0,204815957.382
000906.SH,20240820,3533.1376,3571.7518,3572.6361,3522.1651,3567.7591,-34.6215,-0.9704,193514477.0,219262270.277
000906.SH,20240819,3567.7591,3554.4599,3591.4549,3554.0057,3556.3188,11.4403,0.3217,192707977.0,224164032.763
000906.SH,20240816,3556.3188,3559.6643,3572.4084,3548.357,3558.6185,-2.2997,-0.0646,183898663.0,217812592.896
000906.SH,20240815,3558.6185,3518.3474,3579.0055,3514.9307,3526.5377,32.0808,0.9097,195739693.0,232962233.048
000906.SH,20240814,3526.5377,3557.1686,3557.1686,3526.5285,3558.8324,-32.2947,-0.9075,153330436.0,186490115.89
000906.SH,20240813,3558.8324,3550.3718,3559.2375,3529.989,3548.6869,10.1455,0.2859,165854853.0,196360568.795
000906.SH,20240812,3548.6869,3550.5676,3562.3794,3541.566,3554.4578,-5.7709,-0.1624,169039586.0,193920749.307
000906.SH,20240809,3554.4578,3586.5556,3598.1196,3554.4578,3570.1762,-15.7184,-0.4403,200331212.0,230909671.241
000906.SH,20240808,3570.1762,3558.2459,3594.1892,3542.3663,3568.2897,1.8865,0.0529,196804948.0,244847075.429
000906.SH,20240807,3568.2897,3565.2251,3590.4431,3554.4654,3569.2651,-0.9754,-0.0273,192073859.0,241913746.529
000906.SH,20240806,3569.2651,3586.8584,3599.022,3540.9182,3558.8653,10.3998,0.2922,227115049.0,287011016.086
000906.SH,20240805,3558.8653,3585.5872,3640.0541,3558.8653,3609.5401,-50.6748,-1.4039,256150665.0,347118730.215
000906.SH,20240802,3609.5401,3622.4811,3652.0504,3605.7626,3649.5489,-40.0088,-1.0963,215145100.0,285325933.005
000906.SH,20240801,3649.5489,3676.3448,3685.8145,3646.5432,3674.1012,-24.5523,-0.6683,249536857.0,325803531.306
000906.SH,20240731,3674.1012,3575.6194,3676.0457,3575.314,3580.764,93.3372,2.6066,315140096.0,404850813.514
000906.SH,20240730,3580.764,3588.9319,3588.9319,3563.8738,3599.6713,-18.9073,-0.5253,188305546.0,251623858.104
