0,交通运输(申万),传媒(申万),公用事业(申万),农林牧渔(申万),医药生物(申万),商贸零售(申万),国防军工(申万),基础化工(申万),家用电器(申万),建筑材料(申万),建筑装饰(申万),房地产(申万),有色金属(申万),机械设备(申万),汽车(申万),煤炭(申万),环保(申万),电力设备(申万),电子(申万),石油石化(申万),社会服务(申万),纺织服饰(申万),综合(申万),美容护理(申万),计算机(申万),轻工制造(申万),通信(申万),钢铁(申万),食品饮料(申万)
2019-01-28,-0.5038274664565302,0.5466870130304735,-1.534215516772261,-1.8556270597897317,0.2615125265689323,-0.21379165608884604,-0.451109890382049,-0.1036489488208239,0.6434288989885414,1.3897231350947208,-0.5136201065086546,1.6754805280332314,0.9622971421163748,-0.06061697424108678,-0.42573796913314926,-1.822880645115494,0.6150405937577451,-0.013351694510954209,1.666017180650329,-1.044479029433161,0.9130638471557262,-1.1573209705769383,0.6740873638542639,-0.7693360052703211,1.267352954046075,0.11143264380508608,1.1374359202116147,-1.446414102458182,0.05241828824502309
2019-01-29,-0.5038274664565302,0.5466870130304735,-1.534215516772261,-1.8556270597897317,0.2615125265689323,-0.21379165608884604,-0.451109890382049,-0.1036489488208239,0.6434288989885414,1.3897231350947208,-0.5136201065086546,1.6754805280332314,0.9622971421163748,-0.06061697424108678,-0.42573796913314926,-1.822880645115494,0.6150405937577451,-0.013351694510954209,1.666017180650329,-1.044479029433161,0.9130638471557262,-1.1573209705769383,0.6740873638542639,-0.7693360052703211,1.267352954046075,0.11143264380508608,1.1374359202116147,-1.446414102458182,0.05241828824502309
2019-01-30,-0.44305037278478393,0.4930453703901237,-1.6578789612065934,-2.08581837431182,0.24043538367947245,-0.2505241803864021,-0.5337903983249861,-0.09956185145949731,0.7396842087333564,1.5117109957588315,-0.555833975008638,1.8071343022202486,1.1187247052889595,-0.18428686241781744,-0.4716598821276972,-1.396607711443743,0.42598938965270083,-0.12852809657944733,1.6628809055891633,-0.9776448264611144,1.194929203490393,-1.2179062545506705,0.5353919802538071,-0.9448345302365408,1.1340261373818736,0.12679277671094685,0.8989924625587726,-1.0264160340224286,0.08460448961353316
2019-01-31,-0.44305037278478393,0.4930453703901237,-1.6578789612065934,-2.08581837431182,0.24043538367947245,-0.2505241803864021,-0.5337903983249861,-0.09956185145949731,0.7396842087333564,1.5117109957588315,-0.555833975008638,1.8071343022202486,1.1187247052889595,-0.18428686241781744,-0.4716598821276972,-1.396607711443743,0.42598938965270083,-0.12852809657944733,1.6628809055891633,-0.9776448264611144,1.194929203490393,-1.2179062545506705,0.5353919802538071,-0.9448345302365408,1.1340261373818736,0.12679277671094685,0.8989924625587726,-1.0264160340224286,0.08460448961353316
2019-02-01,-0.4162191095385042,0.3950188526041036,-1.6671229416800457,-2.063675084673513,0.2731334681031636,-0.25849735173774896,-0.5625620060990636,-0.09610975887394183,0.8748569141991391,1.5590525248362377,-0.560769530404105,1.9022936561604666,1.0724292453862128,-0.23123754565079377,-0.5061442792379555,-1.344034560007698,0.38153039464565486,-0.11092273211476371,1.6974236482289808,-0.9248466082808152,1.1337827854132339,-1.2536664133581692,0.45673176761894363,-0.9599557106200676,1.1140266451679752,0.04939386148070924,0.8366586854826883,-0.9576148964861321,0.16704607943576028
2019-02-11,-0.30190561417846357,0.6939151058297107,-1.3228447052169219,-2.083147841308768,0.4865822251275732,-0.11266679732090881,-0.9160187701910439,-0.017371744067369896,0.4354206290007916,0.9849182484367826,-0.7819167446224845,0.8506201036442548,0.7935247425751055,0.027083263406057354,-0.23154371664197904,-2.1463129277166484,0.6127117107760455,0.1454770060579717,2.1747271515546753,-1.5529568347690492,0.8742636665231873,-0.7296559041560382,0.40535154729302625,-0.22011150846913502,1.45645366192967,0.36557936526866963,1.0806620380386347,-0.9965883581799336,0.025751001376542508
2019-02-12,-0.30190561417846357,0.6939151058297107,-1.3228447052169219,-2.083147841308768,0.4865822251275732,-0.11266679732090881,-0.9160187701910439,-0.017371744067369896,0.4354206290007916,0.9849182484367826,-0.7819167446224845,0.8506201036442548,0.7935247425751055,0.027083263406057354,-0.23154371664197904,-2.1463129277166484,0.6127117107760455,0.1454770060579717,2.1747271515546753,-1.5529568347690492,0.8742636665231873,-0.7296559041560382,0.40535154729302625,-0.22011150846913502,1.45645366192967,0.36557936526866963,1.0806620380386347,-0.9965883581799336,0.025751001376542508
2019-02-13,-0.2143915762873848,0.8072953432291483,-1.2377097084655433,-2.1590663643211445,0.4721492194194545,-0.13786032426883332,-0.8797431366299193,-0.019211612601508433,0.1911920930475663,0.9795988890566063,-0.6660403658492856,0.8277790884641892,0.6764478645637457,0.0653024146665138,-0.24397677846658813,-2.168784224055433,0.6837622683153902,0.15810237125853766,2.190004244331702,-1.5086619698306265,0.7625151809483363,-0.6925128569237494,0.42831578885575344,-0.18051743726322844,1.5296085099480063,0.35143952181447785,1.1070155016043934,-1.1007626200079772,-0.021289324552619594
2019-02-14,-0.2143915762873848,0.8072953432291483,-1.2377097084655433,-2.1590663643211445,0.4721492194194545,-0.13786032426883332,-0.8797431366299193,-0.019211612601508433,0.1911920930475663,0.9795988890566063,-0.6660403658492856,0.8277790884641892,0.6764478645637457,0.0653024146665138,-0.24397677846658813,-2.168784224055433,0.6837622683153902,0.15810237125853766,2.190004244331702,-1.5086619698306265,0.7625151809483363,-0.6925128569237494,0.42831578885575344,-0.18051743726322844,1.5296085099480063,0.35143952181447785,1.1070155016043934,-1.1007626200079772,-0.021289324552619594
2019-02-15,-0.3020710537873771,0.8246434334703522,-1.2074133580683548,-1.7638791488205023,0.49929967426638655,-0.13672654079664667,-0.8699845198086857,-0.01216594558387849,0.047460808780362775,0.8062561940385548,-0.7391577254764519,0.5985381483735116,0.7213432669613175,0.07909430087191846,-0.31210420579458503,-2.240852012565835,0.6991753809348631,0.15112343079529844,2.4076993336491945,-1.5134015803234835,0.8180429059376757,-0.692579729516064,0.4585659517391343,-0.2073731466088023,1.5372251564151629,0.3689974987743568,1.2204020088593766,-1.2003514638860795,-0.039807062830790746
2019-02-18,-0.3020710537873771,0.8246434334703522,-1.2074133580683548,-1.7638791488205023,0.49929967426638655,-0.13672654079664667,-0.8699845198086857,-0.01216594558387849,0.047460808780362775,0.8062561940385548,-0.7391577254764519,0.5985381483735116,0.7213432669613175,0.07909430087191846,-0.31210420579458503,-2.240852012565835,0.6991753809348631,0.15112343079529844,2.4076993336491945,-1.5134015803234835,0.8180429059376757,-0.692579729516064,0.4585659517391343,-0.2073731466088023,1.5372251564151629,0.3689974987743568,1.2204020088593766,-1.2003514638860795,-0.039807062830790746
2019-02-19,-0.3020710537873771,0.8246434334703522,-1.2074133580683548,-1.7638791488205023,0.49929967426638655,-0.13672654079664667,-0.8699845198086857,-0.01216594558387849,0.047460808780362775,0.8062561940385548,-0.7391577254764519,0.5985381483735116,0.7213432669613175,0.07909430087191846,-0.31210420579458503,-2.240852012565835,0.6991753809348631,0.15112343079529844,2.4076993336491945,-1.5134015803234835,0.8180429059376757,-0.692579729516064,0.4585659517391343,-0.2073731466088023,1.5372251564151629,0.3689974987743568,1.2204020088593766,-1.2003514638860795,-0.039807062830790746
2019-02-20,-0.3020710537873771,0.8246434334703522,-1.2074133580683548,-1.7638791488205023,0.49929967426638655,-0.13672654079664667,-0.8699845198086857,-0.01216594558387849,0.047460808780362775,0.8062561940385548,-0.7391577254764519,0.5985381483735116,0.7213432669613175,0.07909430087191846,-0.31210420579458503,-2.240852012565835,0.6991753809348631,0.15112343079529844,2.4076993336491945,-1.5134015803234835,0.8180429059376757,-0.692579729516064,0.4585659517391343,-0.2073731466088023,1.5372251564151629,0.3689974987743568,1.2204020088593766,-1.2003514638860795,-0.039807062830790746
2019-02-21,-0.3020710537873771,0.8246434334703522,-1.2074133580683548,-1.7638791488205023,0.49929967426638655,-0.13672654079664667,-0.8699845198086857,-0.01216594558387849,0.047460808780362775,0.8062561940385548,-0.7391577254764519,0.5985381483735116,0.7213432669613175,0.07909430087191846,-0.31210420579458503,-2.240852012565835,0.6991753809348631,0.15112343079529844,2.4076993336491945,-1.5134015803234835,0.8180429059376757,-0.692579729516064,0.4585659517391343,-0.2073731466088023,1.5372251564151629,0.3689974987743568,1.2204020088593766,-1.2003514638860795,-0.039807062830790746
