0,beta,mom,size,earning,growth,bookToPrice,leverage,liquidity,nonLinearSize,residualVolatility
2014-06-30,-0.6413949127545786,0.6720837208243567,-3.236247955434813,0.709071251036945,,-1.1956077188717769,,-0.20405072605031482,2.5440610940906976,
2014-07-01,-0.6413949127545786,1.0440414859056035,-3.196065515407916,0.6943756636686622,,-1.2116632046460198,,-0.1781798357736031,2.5440610940906976,
2014-07-02,-0.776050365735179,0.6489710213441028,-2.8666772647717593,0.5791098941966342,,-1.242833275770514,,-0.15930656830538056,2.5440610940906976,
2014-07-03,-0.776050365735179,1.0996845194676057,-2.8825423909404995,0.5844552342694783,,-1.2336109275711946,,-0.14494101681519825,2.5440610940906976,
2014-07-04,-0.8064053707717254,0.9148323414225591,-2.8825423909404995,0.5844552342694783,,-1.2366970499129675,,-0.1510377498502696,2.5440610940906976,
2014-07-07,-0.8064053707717254,0.9269759395975973,-2.9197977628134595,0.5970878030423998,,-1.2211439189023992,,-0.16448126778059982,2.5440610940906976,
2014-07-08,-0.8064053707717254,-0.08307101817036051,-2.909119319571242,0.5934553907301566,,-1.2274020129732905,,-0.17434752434240117,2.5440610940906976,
2014-07-09,-0.9961424564166755,0.8904844766429509,-3.0062255719230317,0.6268326420029431,,-1.1923578708498892,,-0.18461422856603774,2.5440610940906976,
2014-07-10,-0.9961424564166755,0.4317119046229944,-3.050121531227237,0.6421778271355675,,-1.1759095951227918,,-0.20663149773871026,2.5440610940906976,
2014-07-11,-0.9329299570425028,0.5044413352899613,-3.04460916697737,0.640241918363049,,-1.1759095951227918,,-0.22457923810369188,2.5440610940906976,
2014-07-14,-0.9329299570425028,0.6920392736695228,-3.0556412014623264,0.6441188709446182,,-1.1725797538272655,,-0.2261500559395339,2.5440610940906976,
2014-07-15,-0.9329299570425028,0.013745556799653317,-3.1112440378694153,0.6638162913187192,,-1.152311271090135,,-0.23685167780444197,2.5440610940906976,
2014-07-16,-0.4731954995542926,1.3233049536159336,-3.1619293359004628,0.6820022361702363,,-1.1315339563140954,,-0.23946298191677426,2.5440610940906976,
2014-07-17,-0.4731954995542926,0.11550479230945318,-3.2189794141089196,0.7027383939779432,,-1.1138167811954924,,-0.2552058235699978,2.5440610940906976,
2014-07-18,-0.5393427322269332,0.53601012743232,-3.236247955434813,0.709071251036945,,-1.10300549946746,,-0.29364881962761485,2.5440610940906976,
2014-07-21,-0.5393427322269332,1.0339435355555389,-3.213239109157721,0.7006390722164191,,-1.1102282337209883,,-0.2952939283553263,2.5440610940906976,
2014-07-22,-0.5393427322269332,0.30053724542341204,-3.190356685750783,0.6922993008350221,,-1.1244917853157068,,-0.31238579862236493,2.5440610940906976,
2014-07-23,-0.6896817836803875,0.3307071374426246,-3.2768218798158744,0.7240545841718795,,-1.0920554890031282,,-0.3281047394216099,2.5440610940906976,
2014-07-24,-0.6896817836803875,-0.08399783574003337,-3.3177949918712604,0.7393341979055272,,-1.0697277432816723,,-0.3414312585456117,2.5440610940906976,
2014-07-25,-0.9700634824637058,0.7776131091719372,-3.2710013469568247,0.7218961710586667,,-1.0920554890031282,,-0.36968899126268207,2.5440610940906976,
2014-07-28,-0.9700634824637058,1.1765978596760107,-3.1789624499625186,0.688163594535231,,-1.1280201685605509,,-0.368044365331428,2.5440610940906976,
2014-07-29,-0.9700634824637058,0.6631224738460174,-3.139326346452789,0.6738649076665353,,-1.1419873251723431,,-0.3768093039726026,2.5440610940906976,
2014-07-30,-0.9800008708480977,1.0664730892662047,-3.1224542480911546,0.667819486726286,,-1.14888415103375,,-0.4069247366392026,2.5440610940906976,
2014-07-31,-0.9800008708480977,0.5331278782502301,-3.083349823855808,0.6539018354027831,,-1.1591230383229454,,-0.41234334144473045,2.5440610940906976,
2014-08-01,-0.9772175577911254,-0.5293649926237255,-3.1619293359004628,0.6820022361702363,,-1.1315339563140954,,-0.41986902790159675,2.5440610940906976,
2014-08-04,-0.9772175577911254,0.856656639068975,-3.1336947153272163,0.6718443210279476,,-1.1419873251723431,,-0.4586633795699071,2.5440610940906976,
2014-08-05,-0.9772175577911254,0.36228901786024725,-3.0556412014623264,0.6441188709446182,,-1.1725797538272655,,-0.4350606838089183,2.5440610940906976,
2014-08-06,-0.8856880520133191,0.17675337003850805,-3.066702537534109,0.648016445614387,,-1.1725797538272655,,-0.43819580002037317,2.5440610940906976,
2014-08-07,-0.8856880520133191,0.851415613885672,-3.0777933312600285,0.6519348073490615,,-1.1658789711160555,,-0.44106038157581123,2.5440610940906976,
2014-08-08,-0.8577135955500571,1.2679842509212644,-3.0336062792489296,0.6363854246341532,,-1.1792260586828498,,-0.4449616416030993,2.5440610940906976,
2014-08-11,-0.8577135955500571,0.31250804970196505,-3.0007709665817095,0.6249370898473258,,-1.1923578708498892,,-0.4387079646492183,2.5440610940906976,
2014-08-12,-0.8577135955500571,1.1825423179106995,-2.989883141863236,0.6211608332031071,,-1.1956077188717769,,-0.4371088138373057,2.5440610940906976,
2014-08-13,-0.8573304874235449,0.40039635477477603,-3.0062255719230317,0.6268326420029431,,-1.185818547356532,,-0.42232068751615826,2.5440610940906976,
2014-08-14,-0.8573304874235449,0.38080998798769844,-3.022632384670616,0.6325492282406725,,-1.1792260586828498,,-0.4094971920771216,2.5440610940906976,
2014-08-15,-0.8612619195647749,1.0763020462871786,-2.9790237078541995,0.6174042445622433,,-1.1923578708498892,,-0.36723796978673084,2.5440610940906976,
2014-08-18,-0.8612619195647749,0.4913560807234903,-2.8456173433681307,0.5720456868872513,,-1.2397712401453287,,-0.2689854691252901,2.5440610940906976,
