Date,农林牧渔(申万),基础化工(申万),钢铁(申万),有色金属(申万),电子(申万),家用电器(申万),食品饮料(申万),纺织服饰(申万),轻工制造(申万),医药生物(申万),公用事业(申万),交通运输(申万),房地产(申万),商贸零售(申万),社会服务(申万),综合(申万),建筑材料(申万),建筑装饰(申万),电力设备(申万),国防军工(申万),计算机(申万),传媒(申万),通信(申万),汽车(申万),机械设备(申万),煤炭(申万),石油石化(申万),环保(申万),美容护理(申万)
2022-07-29,-0.100119695,0.049643595,-0.120158374,0.04369737,0.010998163,0.008394089,-0.06509307,-0.024423283,0.034641497,-0.008808609,0.05092389,-0.11444068,0.36234078,-0.07934043,-0.15279528,-0.049351927,0.04057882,0.05265896,-0.056649987,0.10451463,0.10234606,-0.019846994,0.027177054,-0.15687695,-0.008677777,-0.063975096,-0.098816186,-0.02168927,0.03567582
2022-08-31,0.03446896,0.016182978,0.021954585,-0.120666206,-0.10056889,-0.025071234,-0.09043543,-0.0063244067,0.09665656,0.05255455,0.03181303,-0.1223173,0.38527748,-0.11112659,-0.1723427,-0.07669954,-0.009211514,0.08376223,-0.0846636,0.034614433,0.09647408,0.01309583,0.086116195,-0.17367682,0.014090519,-0.2891545,-0.14282262,-0.025955912,0.05612595
2022-09-30,0.115330935,0.10599905,0.0070968755,-0.19599384,0.037822243,-0.010569077,-0.015856992,0.02922276,0.12664588,0.009893376,0.13402478,-0.08272758,0.23774585,-0.07980655,-0.11553912,0.07266083,0.017641727,0.07907886,0.011768643,0.08536379,0.039849717,-0.021007154,-0.019320954,-0.033414084,-0.02789649,-0.24323577,0.035412278,-0.04365788,-0.031121861
2022-10-31,0.07429981,0.09433071,-0.022825785,-0.13156274,-0.037763756,0.028257247,0.08195937,0.016677093,0.081094906,0.008697409,0.11434616,-0.07113807,0.3558447,-0.08392988,-0.07667628,0.063336074,-0.025466751,0.04897873,0.047642235,0.32649758,0.049240295,-0.01506887,-0.059110675,-0.056934696,-0.02150651,-0.12927629,0.04595365,-0.07359755,-0.061974127
2022-11-30,0.032423142,0.044853333,-0.0087397285,-0.20004624,0.013596509,0.029248849,0.02050462,-0.0459568,-0.0032188408,0.027417038,0.0539562,-0.18755175,0.19568402,-0.08982086,-0.06985006,0.08156535,-0.09620437,0.13291977,0.14034005,0.20874324,0.08327186,0.083142355,-0.06778349,-0.016791683,-0.0039896704,-0.07327695,0.01157134,-0.0695643,-0.049119633
2022-12-30,0.08257075,0.07607505,-0.049402524,0.03315145,0.12587474,-0.051469747,0.0023744889,-0.047813248,-0.055506554,-0.08174914,-0.0020813532,-0.13968787,0.23238167,-0.04127657,-0.13901344,-0.16215098,0.15156023,0.122164205,0.17989,0.009368014,0.08567585,-0.04523373,-0.092763305,0.07827735,0.004817698,-0.14775631,-0.020696279,0.06671967,0.093935624
2023-01-31,-0.039655145,0.056108046,0.01693619,-0.025881585,0.07508066,-0.042041574,0.022427563,-0.05154362,-0.052097958,-0.096483275,0.061213043,-0.06902926,0.3157711,0.013377164,-0.13518696,-0.33768275,0.22630474,0.12196851,0.17565629,0.012289042,0.058120966,-0.113979325,-0.009196889,0.07621798,0.056479722,-0.15022033,-0.033987653,0.12823196,-0.051071573
2023-02-28,-0.0015710928,0.014338229,0.023083441,-0.0047358386,-0.03866094,-0.049288508,-0.018293869,-0.021357153,-0.062335823,-0.04964855,0.0880408,-0.09354949,0.3270409,-0.024985816,-0.14393637,-0.21299693,0.22210947,0.08335212,0.28300548,-0.00049077347,0.042187955,-0.015451174,-0.033460613,0.13786575,0.011625849,-0.11549047,-0.023695078,-0.06320791,0.033696216
2023-03-31,0.07350172,0.00096530095,-0.028462797,-0.007269226,-0.015787207,-0.027871203,0.0019814856,0.01091871,-0.0133503415,-0.04585312,-0.0040992796,-0.07282013,0.3544281,-0.042829778,-0.15630686,-0.3528349,0.3700704,0.090071775,0.3194009,-0.041643884,0.07466358,0.13685678,-0.053000215,0.19545928,0.004169125,-0.09504591,0.032745022,-0.015079707,-0.023534842
2023-04-28,-0.018068258,0.020449545,0.0019983929,0.019681543,-0.022010915,0.03156658,0.038485043,-0.0431319,-0.019402329,-0.0070696957,0.036127996,-0.103186905,0.47822645,-0.03189745,-0.14414337,-0.39607054,0.35753426,0.026485253,0.28858206,-0.07242559,-0.0034022294,0.033310983,-0.18772447,0.21280405,-0.13513705,-0.013932575,-0.06530778,-0.013028853,-0.048427265
