0,beta,mom,size,earning,growth,bookToPrice,leverage,liquidity,nonLinearSize,residualVolatility
2014-06-30,-0.5752528516198934,2.0124183744986466,0.37856099710747776,-0.7585085269941474,,-1.1225546577529002,,1.5507245813898716,-0.5033797439082927,
2014-07-01,-0.5752528516198934,1.4418792135415264,0.3866739622634151,-0.7611072590317177,,-1.1240389292451598,,1.543914428496727,-0.503916336933733,
2014-07-02,-0.7030976825176403,1.3768500279673845,0.4785245542752014,-0.8122487233458257,,-1.134750718947654,,1.5189968499415605,-0.509443413026077,
2014-07-03,-0.7030976825176403,1.636950512026124,0.465502908756387,-0.8045701812783034,,-1.1324866842052308,,1.490505251126674,-0.5089806480253461,
2014-07-04,-0.7493600355805424,1.1634952052628078,0.4691586929860047,-0.8087651562155079,,-1.1357252513334968,,1.467375895262612,-0.509443413026077,
2014-07-07,-0.7493600355805424,2.1298538643302334,0.457791073224498,-0.8040191982898212,,-1.1285401840183744,,1.442376834832525,-0.5089806480253461,
2014-07-08,-0.7493600355805424,1.0283018122752705,0.45356666825869635,-0.8022078091069896,,-1.1186636572664614,,1.4192771359879388,-0.5085375121298751,
2014-07-09,-1.0189047724706166,2.0637609070472878,0.4414529087402735,-0.7963344364383314,,-1.1099885910168148,,1.3915694348566259,-0.5110686173025409,
2014-07-10,-1.0189047724706166,1.7406756995258914,0.4276048335711526,-0.7905592508465666,,-1.112332051536793,,1.3697416820454889,-0.5105846161519243,
2014-07-11,-0.9455123285590369,1.223006978088766,0.4194684402672352,-0.7864619428115411,,-1.1060944069901295,,1.350933498234134,-0.5095416659902536,
2014-07-14,-0.9455123285590369,1.301599820012998,0.40256756366321306,-0.7744718823420305,,-1.092092188028634,,1.3371913208795827,-0.5086735768624778,
2014-07-15,-0.9455123285590369,1.114204443841029,0.38778966427464345,-0.7663136164780296,,-1.092198929793619,,1.314762038291945,-0.5086735768624778,
2014-07-16,-0.43943418166356485,1.8439386388206316,0.3819596992507207,-0.7692892299976182,,-1.1036194815030487,,1.3066413026282875,-0.5085375121298751,
2014-07-17,-0.43943418166356485,1.6324260020640655,0.37010878300353617,-0.76051077430114,,-1.0956558804432888,,1.2974573787560817,-0.5095416659902536,
2014-07-18,-0.5242011208297079,1.6474700617721316,0.3615745393720964,-0.7567864493384202,,-1.0884605799172313,,1.275627997601851,-0.5090979231175904,
2014-07-21,-0.5242011208297079,1.433298763295294,0.3701681349106599,-0.7598660103425624,,-1.0915374211478168,,1.2673918205962325,-0.510272483500808,
2014-07-22,-0.5242011208297079,1.0603143129137131,0.36110033176224243,-0.7551346468696367,,-1.0890667468685018,,1.2473933093686018,-0.5075143760769689,
2014-07-23,-0.6433587706919647,1.0861640115015032,0.34297737607880147,-0.750563831303889,,-1.0911881391646159,,1.2312195793293277,-0.5082683712273431,
2014-07-24,-0.6433587706919647,0.7652122611315931,0.32714734256873695,-0.7474448963334114,,-1.0932640033434877,,1.2096199129637786,-0.5066433742607236,
2014-07-25,-0.8079741618762106,0.4508136429251278,0.32819317895673733,-0.7472346595289898,,-1.1031643473357864,,1.1916468175749293,-0.5057523028460033,
2014-07-28,-0.8079741618762106,1.5745012600290498,0.3322816984958646,-0.7510330228506353,,-1.1069672410664162,,1.1810001136086183,-0.5028592249384042,
2014-07-29,-0.8079741618762106,1.1369504121317866,0.33641618295786435,-0.7509599193947489,,-1.1009055071190699,,1.1564876206723722,-0.5026932694529593,
2014-07-30,-0.8162644518826904,1.7610946298048364,0.3387478961520626,-0.7519990659451529,,-1.097744840724046,,1.1249450743963074,-0.5001399612942364,
2014-07-31,-0.8162644518826904,1.2390923271299241,0.3402962868239436,-0.7527062114886808,,-1.094957331213476,,1.1127655144782749,-0.49989942141892885,
2014-08-01,-0.8341125170517757,0.9861923408540566,0.3272591775291232,-0.7454488149905331,,-1.101755815392256,,1.0958146941113043,-0.5011569867327625,
2014-08-04,-0.8341125170517757,1.9163656908009319,0.31643012161053596,-0.7414100577929059,,-1.0937779692045657,,1.0619001418990093,-0.49931991366968076,
2014-08-05,-0.8341125170517757,0.7199521731229327,0.3336441742344241,-0.7500204134884866,,-1.1092180777650742,,1.059967409855749,-0.49931991366968076,
2014-08-06,-0.7080570121995995,0.6208786193487708,0.32771103973993343,-0.745129549545566,,-1.1141420011894723,,1.0413390366195914,-0.499467770776316,
2014-08-07,-0.7080570121995995,1.9741460072152457,0.33457965212584695,-0.7460663096495674,,-1.1236406109550328,,1.0303501598626568,-0.5008369505796244,
2014-08-08,-0.6937867021904506,0.9390392552775839,0.3406862833769512,-0.7488612971263761,,-1.1155412881307745,,1.0243923370345607,-0.4998388110070173,
2014-08-11,-0.6937867021904506,0.8997157732040383,0.33284649055283727,-0.744513246963652,,-1.1134677122211363,,1.0140888251121918,-0.49874560878224894,
2014-08-12,-0.6937867021904506,1.0766201267607156,0.3325824471402443,-0.7438361466690938,,-1.1047019773524862,,0.9960010116127348,-0.4966549015994747,
2014-08-13,-0.6935463968792825,0.8701447526602781,0.3271322508577487,-0.7421846417563437,,-1.1112859845327006,,0.9881067528544109,-0.49700856948548533,
2014-08-14,-0.6935463968792825,0.41461797383244764,0.3303744648940975,-0.742472529304497,,-1.1023539175084098,,0.9738273559043406,-0.5000338288113776,
2014-08-15,-0.7260279914634278,1.8062053525171387,0.3306515883370961,-0.7409013520048989,,-1.098990149563138,,0.9744655396119237,-0.49700856948548533,
2014-08-18,-0.7260279914634278,1.68564030444096,0.35456241990210186,-0.7499661689078032,,-1.1070079162438426,,1.0023527867633428,-0.49516792977198404,
