0,beta,mom,size,earning,dastd,cmra,growth,bookToPrice,leverage,liquidity,nonLinearSize
2014-06-30,0.892869707,0.0010379450337859749,27.305290975839238,0.022157510069252078,,0.3070563760645839,,0.20120725196247946,,3.6909209680103983,13.889100632262853
2014-07-01,0.892869707,0.0016469093731009742,27.31493956895507,0.021944749341563787,,0.3070563760645839,,0.19920318800495232,,3.6993580826363357,13.889100632262853
2014-07-02,0.866056934,0.0010001052275227433,27.394032157792285,0.02027594711026616,,0.3070563760645839,,0.195312504348755,,3.7055131054937713,13.889100632262853
2014-07-03,0.866056934,0.001738007412587166,27.390222629375618,0.020353336221374047,,0.3070563760645839,,0.19646364831847973,,3.710198054611915,13.889100632262853
2014-07-04,0.860012605,0.001435369868645713,27.390222629375618,0.020353336221374047,,0.3070563760645839,,0.19607843502499048,,3.708209764494704,13.889100632262853
2014-07-07,0.860012605,0.0014552512071572337,27.381276882817158,0.02053622884467266,,0.3070563760645839,,0.1980197944907365,,3.7038255125211204,13.889100632262853
2014-07-08,0.860012605,-0.00019838432907074924,27.383840986786097,0.020483639270166453,,0.3070563760645839,,0.1972386520857893,,3.7006078908370394,13.889100632262853
2014-07-09,0.822231904,0.0013955078660712907,27.360523868230867,0.020966870602883356,,0.3070563760645839,,0.20161290168119145,,3.697259673615331,13.889100632262853
2014-07-10,0.822231904,0.000644411471686429,27.349983586195435,0.021189036119205296,,0.3070563760645839,,0.2036659941264556,,3.6900793167828807,13.889100632262853
2014-07-11,0.834818861,0.0007634831347963289,27.351307213125946,0.021161008293650793,,0.3070563760645839,,0.2036659941264556,,3.684226130397864,13.889100632262853
2014-07-14,0.834818861,0.0010706160012851147,27.34865820495437,0.02121713828912467,,0.3070563760645839,,0.20408162869637658,,3.683713849220227,13.889100632262853
2014-07-15,0.834818861,-3.987751150645557e-05,27.335306871779505,0.021502314879032258,,0.3070563760645839,,0.20661156371661793,,3.6802237949781067,13.889100632262853
2014-07-16,0.926361798,0.002104115833280372,27.323136336159248,0.021765608530612244,,0.3070563760645839,,0.20920501172948694,,3.6793721863986075,13.889100632262853
2014-07-17,0.926361798,0.000126721364599516,27.309437491801084,0.022065823820689657,,0.3070563760645839,,0.2114164896370162,,3.6742380700947015,13.889100632262853
2014-07-18,0.913190473,0.0008151671442583841,27.305290975839238,0.022157510069252078,,0.3070563760645839,,0.2127659660932552,,3.66170089178992,13.889100632262853
2014-07-21,0.913190473,0.001630377142184866,27.310815851771206,0.022035430123966943,,0.3070563760645839,,0.21186441620583207,,3.6611643825797855,13.889100632262853
2014-07-22,0.913190473,0.00042965405250230325,27.316310371088846,0.02191468804109589,,0.3070563760645839,,0.21008402350646188,,3.65559031585567,13.889100632262853
2014-07-23,0.883254761,0.00047904780116264254,27.29554837964042,0.022374436741258743,,0.3070563760645839,,0.21413275882781807,,3.650463994190546,13.889100632262853
2014-07-24,0.883254761,-0.00019990170255227365,27.28570993064013,0.022595652923728813,,0.3070563760645839,,0.2169197333910533,,3.646117898319421,13.889100632262853
2014-07-25,0.827424784,0.0012107163543130868,27.296946003907056,0.02234318752793296,,0.3070563760645839,,0.21413275882781807,,3.636902377421107,13.889100632262853
2014-07-28,0.827424784,0.0018639289171275817,27.319046350907723,0.021854811844262294,,0.3070563760645839,,0.20964360670507937,,3.6374387291797965,13.889100632262853
2014-07-29,0.827424784,0.0010232737986138553,27.328563757894614,0.02164779738836265,,0.3070563760645839,,0.20790021036389023,,3.634580273548238,13.889100632262853
2014-07-30,0.825446038,0.0016836340977945988,27.33261508011379,0.021560272601078168,,0.3070563760645839,,0.20703934073188196,,3.624758912369704,13.889100632262853
2014-07-31,0.825446038,0.0008104483639728611,27.342004820463632,0.021358774726301735,,0.2952706047741609,,0.20576131119917374,,3.6229917760490014,13.889100632262853
2014-08-01,0.826000255,-0.0009290509283656835,27.323136336159248,0.021765608530612244,,0.2952706047741609,,0.20920501172948694,,3.6205374701246087,13.889100632262853
2014-08-04,0.826000255,0.001340125377271274,27.329916023144627,0.02161854360810811,,0.2952706047741609,,0.20790021036389023,,3.607885706371465,13.889100632262853
2014-08-05,0.826000255,0.0005307532385760596,27.34865820495437,0.02121713828912467,,0.2952706047741609,,0.20408162869637658,,3.615583108644314,13.889100632262853
2014-08-06,0.844225732,0.00022699672694505063,27.34600216089625,0.021273566848404254,,0.2952706047741609,,0.20408162869637658,,3.6145606724405823,13.889100632262853
2014-08-07,0.844225732,0.0013315448400767185,27.343339043476767,0.02133029636,,0.2952706047741609,,0.20491802799986572,,3.6136264640434197,13.889100632262853
2014-08-08,0.849796043,0.0020135455096320885,27.35394922258878,0.02110517449868074,,0.2952706047741609,,0.2032520293806597,,3.612354170060346,13.889100632262853
2014-08-11,0.849796043,0.0004492524951291586,27.361833626112933,0.02093942705497382,,0.2952706047741609,,0.20161290168119145,,3.614393643334328,13.889100632262853
2014-08-12,0.849796043,0.0018736611056213,27.364448006687002,0.02088475492167102,,0.2952706047741609,,0.20120725196247946,,3.6149151645715163,13.889100632262853
2014-08-13,0.849872328,0.0005931420671629322,27.360523868230867,0.020966870602883356,,0.2952706047741609,,0.20242914746184992,,3.6197379254251185,13.889100632262853
2014-08-14,0.849872328,0.0005610755262010338,27.356584270226787,0.021049634565789475,,0.2952706047741609,,0.2032520293806597,,3.6239199732699015,13.889100632262853
2014-08-15,0.849089496,0.0016997259363858042,27.367055570094085,0.0208303675390625,,0.2952706047741609,,0.20161290168119145,,3.6377017140083696,13.889100632262853
