index,all_ind,value
2010-01-29,1.0,1.0
2010-02-26,1.0432690311253061,1.0379195081043098
2010-03-31,1.0649059089418271,1.0728098834976998
2010-04-30,0.9907323807565332,1.0255143157658537
2010-05-31,0.9122308304963496,0.9574215856615551
2010-06-30,0.8319277508384139,0.8946429426313579
2010-07-30,0.9466271117617118,1.0308894485520843
2010-08-31,1.0103083785663511,1.056469007943552
2010-09-30,1.0338361784401817,1.047700716557169
2010-10-29,1.1359053139025108,1.2184372907674579
2010-11-30,1.114859248211463,1.2116174928250347
2010-12-31,1.0985000185250435,1.1951549409392308
2011-01-31,1.0531569285030302,1.2251365913475833
2011-02-28,1.139143963956482,1.2874896165080068
2011-03-31,1.123983515943846,1.3085426928794284
2011-04-29,1.0912332283083555,1.3147203337553888
2011-05-31,1.0166734094509553,1.208554798705458
2011-06-30,1.0472657160128243,1.2234437454212517
2011-07-29,1.0528640090233123,1.210632919970058
2011-08-31,1.0134264293438682,1.1683919809560568
2011-09-30,0.8954313512862971,1.0355379194871117
2011-10-31,0.9291364868013419,1.0709603866402166
2011-11-30,0.8870009645455533,1.0301449812125405
2011-12-30,0.7775363581952681,0.9082855955768043
2012-01-31,0.7856240937959009,0.9074145136820971
2012-02-29,0.8651344507871652,1.0157546105520254
2012-03-30,0.8030950747504154,0.9325994886011965
2012-04-27,0.8554237224495929,1.0012827336947085
2012-05-31,0.8691055238695807,1.0360759210457888
2012-06-29,0.8113199454045834,1.015043234755495
2012-07-31,0.7563259293666204,0.9535869454923669
2012-08-31,0.743188813957091,0.9417747344007462
2012-09-28,0.7640421694641141,0.970633524218172
2012-10-31,0.7596355713658033,0.9934171772901232
2012-11-30,0.6915327869647353,0.8640759106474142
2012-12-31,0.7967976789239462,0.995159710177821
2013-01-31,0.842299288613464,1.0490995550992104
2013-02-28,0.8609842193981826,1.0818691741812447
2013-03-29,0.8335349537731789,1.0273877833606306
2013-04-26,0.8118380249767319,1.0063674491534154
2013-05-31,0.887430397433051,1.1135933258620925
2013-06-28,0.7602073611311766,0.9638467450327983
2013-07-31,0.7904463242459501,1.0404682014064948
2013-08-30,0.8443687473315858,1.0818619154220845
2013-09-30,0.8752028740921175,1.0986105342196566
2013-10-31,0.8539786447277106,1.081341296764546
2013-11-29,0.89860323658619,1.1323659088933347
2013-12-31,0.8659979167407461,1.0785661566525404
2014-01-30,0.8510493256013866,1.066837824831484
2014-02-28,0.8658357915278635,1.1027109966086326
2014-03-31,0.8400459470810374,1.0542357832707467
2014-04-30,0.8322266381173783,1.0593044572518526
2014-05-30,0.8374449812424611,1.053327153521605
2014-06-30,0.8607818115403811,1.0632907370858775
2014-07-31,0.9193096350367508,1.1289315734444787
2014-08-29,0.9514755756626188,1.133381265078384
2014-09-30,1.0422720356635684,1.184254987706091
2014-10-31,1.0529156056209708,1.1793187704655248
2014-11-28,1.111838920146619,1.2715745408119319
2014-12-31,1.1682290282209773,1.5535736078941313
2015-01-30,1.2162116261183724,1.6158778103715723
2015-02-27,1.2897068144558996,1.7105469423976951
2015-03-31,1.5297263540252684,2.0943563482301886
2015-04-30,1.7929279340995825,2.4098937850594937
2015-05-29,2.0766579976094,2.6866906499972956
2015-06-30,1.881449294966684,2.488845803708991
2015-07-31,1.5872886373350996,2.0676689660144194
2015-08-31,1.3891282363188826,1.777367447343825
2015-09-30,1.3166370058755474,1.7041260549179467
2015-10-30,1.5057206328950568,2.0169791611927117
2015-11-30,1.5788893328821019,2.152884961323617
2015-12-31,1.6672003288257389,2.247442646929449
2016-01-29,1.2353686346893753,1.7461009539960173
2016-02-29,1.2127081549728058,1.6857226825242402
2016-03-31,1.3859658000344646,1.9166796254251643
2016-04-29,1.3658346725655053,1.8683942523750243
2016-05-31,1.345992610372582,1.8698570964860999
2016-06-30,1.3878800959721584,1.8934710565626096
2016-07-29,1.401074900107744,1.9475695697687048
2016-08-31,1.4574250985246358,1.999974349866924
2016-09-30,1.4426702122025088,1.9516452264775699
2016-10-31,1.48595640075065,2.009733612902431
2016-11-30,1.5363307185255162,2.079661316530089
2016-12-30,1.4670067732034875,1.9897238369594212
2017-01-26,1.4560392014786219,1.9468606690945547
2017-02-28,1.5105765565450224,2.023393882196947
2017-03-31,1.5091003965353944,2.0079141383794803
2017-04-28,1.4668301014799396,1.9657470477841168
2017-05-31,1.3986861641298962,1.8257535537413656
